Date and Time:                Thu May 24 15:50:28.796 2018
Software Version:             4.30.30034.0
Temperature (C):              -80
Model:                        DU970P_BVF
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Accumulate Cycle Time (secs): 1.0448
Frequency (Hz):               0.95709
Number of Accumulations:      500
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM DAC level:                 250
Serial Number:                21547
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                
Wavelength (nm):              604.896
Grating Groove Density (l/mm):599.775
Grating Blaze:                650nm
Output Direct Slit Width (um): 260



549.99841	402970
550.12219	354739
550.24597	377550
550.36975	385428
550.49353	388751
550.61731	378635
550.74109	349647
550.86487	361087
550.98865	391105
551.11237	385372
551.23615	329957
551.35992	361182
551.4837	376623
551.60748	390590
551.73126	379602
551.85504	328453
551.97882	378915
552.1026	354049
552.22638	384851
552.35016	391394
552.47394	406646
552.59772	429185
552.72144	361557
552.84521	378991
552.96899	402721
553.09277	389181
553.21655	375142
553.34033	398538
553.46411	402203
553.58789	388406
553.71167	365406
553.83545	339499
553.95923	351668
554.08301	389520
554.20679	406138
554.33057	401019
554.45435	431079
554.57812	376237
554.70184	418835
554.82562	380889
554.9494	370505
555.07318	340242
555.19696	381920
555.32074	389528
555.44452	359419
555.5683	382071
555.69208	404938
555.81586	383292
555.93964	374150
556.06342	458333
556.18719	364486
556.31097	365749
556.43475	390920
556.55853	364659
556.68225	351923
556.80603	379162
556.92981	373859
557.05359	382848
557.17737	373214
557.30115	377995
557.42493	391892
557.54871	365277
557.67249	381399
557.79626	384254
557.92004	381293
558.04382	386393
558.1676	371430
558.29138	357749
558.41516	389864
558.53888	351182
558.66266	380929
558.78644	369146
558.91022	351747
559.034	349714
559.15778	324270
559.28156	347908
559.40533	352739
559.52911	363773
559.65289	340096
559.77667	366657
559.90045	368726
560.02417	380143
560.14795	363299
560.27173	369455
560.39551	374691
560.51929	333562
560.64307	370176
560.76685	394581
560.89062	382810
561.0144	345518
561.13818	385925
561.2619	381498
561.38568	382697
561.50946	356707
561.63324	358114
561.75702	395486
561.8808	355697
562.00458	401161
562.12836	380936
562.25208	358345
562.37585	343346
562.49963	416678
562.62341	377551
562.74719	374217
562.87097	381570
562.99475	389616
563.11847	329370
563.24225	374975
563.36603	351515
563.48981	348474
563.61359	387798
563.73737	382623
563.86115	364092
563.98486	377357
564.10864	376985
564.23242	386673
564.3562	341440
564.47998	347561
564.6037	371947
564.72748	358555
564.85126	409448
564.97504	360463
565.09882	357621
565.2226	323616
565.34631	362919
565.47009	365603
565.59387	344208
565.71765	372650
565.84137	327534
565.96515	333376
566.08893	348287
566.21271	376120
566.33649	373554
566.46021	355715
566.58398	350046
566.70776	356309
566.83154	373370
566.95526	358176
567.07904	355193
567.20282	403801
567.3266	376636
567.45032	393132
567.5741	370722
567.69788	394056
567.82159	378791
567.94537	361155
568.06915	351008
568.19293	376883
568.31665	333753
568.44043	358996
568.56421	401944
568.68793	357030
568.81171	340531
568.93549	377621
569.0592	421304
569.18298	357982
569.30676	337383
569.43048	351559
569.55426	377699
569.67804	459924
569.80176	357186
569.92554	366324
570.04926	409988
570.17303	389014
570.29681	387317
570.42053	384403
570.54431	388752
570.66809	421299
570.79181	381618
570.91559	381740
571.03931	398179
571.16309	404302
571.2868	398417
571.41058	381575
571.53436	376279
571.65808	388512
571.78186	385366
571.90558	389881
572.02936	382723
572.15308	373253
572.27686	348369
572.40057	404356
572.52435	393667
572.64807	360292
572.77185	381646
572.89557	380661
573.01935	403913
573.14307	383745
573.26685	405872
573.39056	394445
573.51434	429150
573.63806	387088
573.76184	427475
573.88556	366186
574.00934	357706
574.13306	388763
574.25677	400765
574.38055	403634
574.50427	444738
574.62805	433766
574.75177	426833
574.87549	414602
574.99927	401312
575.12299	446348
575.24677	469304
575.37048	512032
575.4942	586339
575.61798	788982
575.7417	948588
575.86542	1.15855e+06
575.9892	1.68805e+06
576.11292	2.71952e+06
576.23663	4.33794e+06
576.36041	5.97037e+06
576.48413	7.70926e+06
576.60785	8.83645e+06
576.73157	9.45872e+06
576.85535	9.68371e+06
576.97906	9.66358e+06
577.10278	9.1147e+06
577.22656	8.72236e+06
577.35028	7.20692e+06
577.474	4.99803e+06
577.59772	2.93316e+06
577.72144	1.75706e+06
577.84521	999352
577.96893	630544
578.09265	450836
578.21637	463456
578.34009	408752
578.46387	391526
578.58759	444043
578.7113	409498
578.83502	405256
578.95874	387625
579.08246	414431
579.20618	410136
579.32996	420488
579.45367	411446
579.57739	433736
579.70111	437004
579.82483	422527
579.94855	379125
580.07227	444429
580.19598	431351
580.3197	431910
580.44342	455561
580.56714	407534
580.69086	424613
580.81458	408919
580.93829	458165
581.06201	423614
581.18573	410338
581.30945	430680
581.43317	448369
