Date and Time:                Tue Apr 30 15:48:12.409 2024
Software Version:             4.30.30034.0
Unstabilized Temperature (C): -72.757
Model:                        DU970P_BVF
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.51067
Accumulate Cycle Time (secs): 0.51067
Frequency (Hz):               1.9582
Number of Accumulations:      50
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     1
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                21547
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                KY-3410
Wavelength (nm):              668.287
Grating Groove Density (l/mm):599.775
Grating Blaze:                650nm
Output Direct Slit Width (um): 260



552.68842	27434
552.81213	27561
552.93585	27560
553.05963	27653
553.18335	27844
553.30707	27881
553.43079	27731
553.55457	27550
553.67828	27928
553.802	27765
553.92572	28151
554.04944	28295
554.17322	28121
554.29694	28605
554.42065	28873
554.54437	28743
554.66815	28838
554.79187	28941
554.91559	28875
555.03931	29256
555.16309	29339
555.2868	29648
555.41052	29745
555.53424	29880
555.65802	30183
555.78174	30327
555.90546	30402
556.02917	30695
556.15295	30870
556.27667	31370
556.40039	31368
556.52411	31998
556.64789	31993
556.77161	32593
556.89532	32872
557.01904	32762
557.14282	32926
557.26654	32670
557.39026	32831
557.51398	33069
557.63776	33118
557.76147	33441
557.88519	32966
558.00891	33216
558.13269	33395
558.25641	34082
558.38013	33479
558.50385	33161
558.62762	33115
558.75134	33525
558.87506	33711
558.99878	34616
559.12256	34555
559.24628	34885
559.37	35337
559.49371	34664
559.61749	35224
559.74121	35124
559.86493	35009
559.98865	35209
560.11243	34945
560.23615	35096
560.35986	34610
560.48358	34332
560.6073	33769
560.73108	33497
560.8548	32957
560.97852	33983
561.10223	33128
561.22601	33023
561.34973	33269
561.47345	32891
561.59717	32776
561.72095	32798
561.84467	32645
561.96838	32521
562.0921	32723
562.21582	32413
562.3396	32471
562.46332	33062
562.58704	33082
562.71075	32589
562.83453	32354
562.95825	32811
563.08197	32974
563.20569	32746
563.32941	32259
563.45319	32157
563.5769	32308
563.70062	32580
563.82434	32024
563.94806	32812
564.07184	32746
564.19556	32948
564.31927	33818
564.44299	33498
564.56671	33561
564.69043	33322
564.81421	34392
564.93793	34074
565.06165	34208
565.18536	34615
565.30908	33997
565.4328	33594
565.55658	33038
565.6803	33218
565.80402	32764
565.92773	32620
566.05145	32520
566.17517	32457
566.29895	32144
566.42267	31586
566.54639	31944
566.6701	31478
566.79382	31421
566.91754	30945
567.04126	31058
567.16498	31513
567.28876	30915
567.41248	31054
567.53619	31237
567.65991	30927
567.78363	30286
567.90735	30698
568.03107	30300
568.15479	30160
568.2785	30493
568.40222	30746
568.52594	30742
568.64972	30880
568.77344	30376
568.89716	30679
569.02087	30891
569.14459	30687
569.26831	30642
569.39203	30343
569.51575	31060
569.63947	30780
569.76318	30563
569.8869	30981
570.01062	30189
570.13434	30606
570.25806	30355
570.38177	30233
570.50549	30608
570.62921	30503
570.75293	31039
570.87665	30872
571.00037	30594
571.12408	30724
571.2478	30856
571.37152	31039
571.49524	31065
571.61896	31211
571.74268	31449
571.86639	31629
571.99011	31772
572.11383	31824
572.23755	32406
572.36127	31968
572.48499	32159
572.6087	32253
572.73242	32104
572.85608	32173
572.9798	31695
573.10352	31594
573.22723	31465
573.35095	31239
573.47467	31796
573.59839	31712
573.72211	31663
573.84583	31488
573.96948	31242
574.0932	31696
574.21692	31495
574.34064	32080
574.46436	31786
