Date and Time:                Tue Apr 30 14:45:31.200 2024
Software Version:             4.30.30034.0
Unstabilized Temperature (C): -74.704
Model:                        DU970P_BVF
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.51067
Accumulate Cycle Time (secs): 0.51067
Frequency (Hz):               1.9582
Number of Accumulations:      50
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     1
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                21547
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                KY-3410
Wavelength (nm):              668.287
Grating Groove Density (l/mm):599.775
Grating Blaze:                650nm
Output Direct Slit Width (um): 260



552.68842	26171
552.81213	26312
552.93585	26048
553.05963	25952
553.18335	26018
553.30707	25949
553.43079	26115
553.55457	26209
553.67828	26212
553.802	26520
553.92572	26573
554.04944	26920
554.17322	27075
554.29694	26940
554.42065	27131
554.54437	26896
554.66815	26852
554.79187	26499
554.91559	26687
555.03931	26610
555.16309	26371
555.2868	26293
555.41052	26683
555.53424	26870
555.65802	26894
555.78174	27286
555.90546	27017
556.02917	26817
556.15295	27002
556.27667	26661
556.40039	26827
556.52411	26835
556.64789	26672
556.77161	26560
556.89532	26790
557.01904	26388
557.14282	26339
557.26654	26562
557.39026	26920
557.51398	26868
557.63776	26626
557.76147	26551
557.88519	26587
558.00891	25935
558.13269	26213
558.25641	26112
558.38013	26154
558.50385	26122
558.62762	26358
558.75134	26170
558.87506	26024
558.99878	26331
559.12256	25949
559.24628	25739
559.37	25912
559.49371	25763
559.61749	25748
559.74121	25912
559.86493	25979
559.98865	25877
560.11243	25534
560.23615	25678
560.35986	25470
560.48358	25333
560.6073	25145
560.73108	25186
560.8548	25141
560.97852	25279
561.10223	25242
561.22601	24548
561.34973	25168
561.47345	25382
561.59717	25135
561.72095	24737
561.84467	24846
561.96838	24717
562.0921	24709
562.21582	24536
562.3396	24993
562.46332	24459
562.58704	24657
562.71075	24472
562.83453	24254
562.95825	24223
563.08197	24280
563.20569	24606
563.32941	24496
563.45319	24475
563.5769	24625
563.70062	24577
563.82434	24676
563.94806	24592
564.07184	24445
564.19556	24520
564.31927	24625
564.44299	24780
564.56671	25252
564.69043	25327
564.81421	24963
564.93793	25196
565.06165	25241
565.18536	25175
565.30908	25180
565.4328	25114
565.55658	24973
565.6803	24994
565.80402	25417
565.92773	25246
566.05145	25153
566.17517	25204
566.29895	25337
566.42267	25574
566.54639	25179
566.6701	25319
566.79382	25236
566.91754	25409
567.04126	25122
567.16498	24986
567.28876	24955
567.41248	25094
567.53619	25100
567.65991	25166
567.78363	25372
567.90735	25551
568.03107	25953
568.15479	26939
568.2785	27117
568.40222	27462
568.52594	27990
568.64972	28025
568.77344	28600
568.89716	28554
569.02087	28452
569.14459	28416
569.26831	28442
569.39203	28053
569.51575	27775
569.63947	27468
569.76318	28048
569.8869	27164
570.01062	27019
570.13434	26649
570.25806	26177
570.38177	26605
570.50549	26124
570.62921	26349
570.75293	26533
570.87665	26579
571.00037	25999
571.12408	26257
571.2478	26345
571.37152	25753
571.49524	26111
571.61896	26038
571.74268	26285
571.86639	26456
571.99011	26434
572.11383	26306
572.23755	26611
572.36127	26705
572.48499	26462
572.6087	26549
572.73242	26456
572.85608	26290
572.9798	26218
573.10352	26387
573.22723	26602
573.35095	26569
573.47467	26490
573.59839	26412
573.72211	26420
573.84583	26504
573.96948	26301
574.0932	26345
574.21692	26487
574.34064	26189
574.46436	26505
574.58807	25829
574.71179	25825
574.83545	25950
574.95917	25962
575.08289	25918
575.2066	26034
575.33032	26056
575.45398	26022
575.5777	26091
575.70142	26170
575.82513	26318
575.94879	26393
576.07251	26396
576.19623	26441
576.31995	25985
576.4436	25843
576.56732	26250
576.69104	25692
576.81476	25903
576.93842	25770
577.06213	25953
577.18585	26045
577.30951	25886
577.43323	25659
577.55695	25416
577.6806	25052
577.80432	25377
577.92804	25427
578.0517	25419
578.17542	25647
578.29913	25645
578.42279	25856
578.54651	25709
578.67023	25117
578.79388	25452
578.9176	25294
579.04126	25473
579.16498	25782
579.28864	25340
579.41235	25426
579.53607	25171
579.65973	25402
579.78345	25613
579.9071	25455
580.03082	24978
580.15448	25152
580.2782	25191
580.40186	25048
580.52557	25176
580.64923	25046
580.77295	25131
580.89661	25098
581.02032	25273
581.14398	24880
581.2677	24845
581.39136	24864
581.51501	24633
581.63873	24747
581.76239	25071
581.88611	25164
582.00977	25333
582.13342	25108
582.25714	25107
582.3808	25182
582.50452	25512
582.62817	25333
582.75183	25420
582.87555	25121
582.99921	25214
583.12286	25234
583.24652	25192
583.37024	25133
583.4939	25144
583.61755	24787
583.74127	24797
583.86493	25071
583.98859	25152
584.11224	25358
584.23596	25347
584.35962	24935
584.48328	25258
584.60693	24839
584.73059	25205
584.85431	24930
584.97797	25428
585.10162	25061
585.22528	25431
585.34894	25339
585.4726	25171
585.59625	25579
585.71997	25291
585.84363	25495
585.96729	25394
586.09094	25259
586.2146	25667
586.33826	25522
586.46191	25307
586.58557	25732
586.70923	25301
586.83289	25219
586.95654	25375
587.0802	25505
587.20386	25593
587.32751	25568
587.45117	25587
587.57483	25751
587.69849	25492
587.82214	25708
587.9458	25821
588.06946	25874
588.19312	25772
588.31671	25804
588.44037	25896
588.56403	26033
588.68768	25920
588.81134	25881
588.935	25532
589.05865	25637
589.18225	25484
589.30591	25609
589.42957	25822
589.55322	25870
589.67688	25781
589.80048	26222
589.92413	26310
590.04779	26203
590.17139	26270
590.29504	25733
590.4187	25948
590.54236	26238
590.66595	25899
590.78961	26106
590.91327	26673
591.03687	26404
591.16052	26284
591.28412	25952
591.40778	26163
591.53143	26467
591.65503	26502
591.77869	26865
591.90228	27376
592.02594	26819
592.14954	26412
592.27319	26479
592.39679	26718
592.52045	27123
592.64404	26816
592.7677	27090
592.8913	27102
593.01495	27575
593.13855	27698
593.26221	27720
593.3858	27639
593.5094	27702
593.63306	28023
593.75665	27653
593.88031	27725
594.00391	27688
594.1275	28092
594.2511	28386
594.37476	28113
594.49835	28041
594.62195	28579
594.74561	28764
594.8692	28934
594.9928	28483
595.11639	28935
595.24005	28475
595.36365	28673
595.48724	28853
595.61084	28981
595.73444	29148
595.85803	29167
595.98163	29293
596.10529	29382
596.22888	29594
596.35248	29432
596.47607	29500
596.59967	29852
596.72327	29212
596.84686	29247
596.97046	29360
597.09406	29217
597.21765	29227
597.34125	29417
597.46484	29239
597.58844	29571
597.71204	29751
597.83563	28882
597.95923	28836
598.08282	29249
598.20636	29160
598.32996	28995
598.45355	28716
598.57715	28946
598.70074	29034
598.82434	29387
598.94788	29711
599.07147	29801
599.19507	29037
599.31866	29360
599.4422	29159
599.5658	29238
599.68939	29067
599.81293	29030
599.93652	29130
600.06012	29292
600.18365	29331
600.30725	28951
600.43085	28831
600.55438	28684
600.67798	28738
600.80151	28836
600.92511	28845
601.04865	29381
601.17224	29179
601.29578	28606
601.41937	28532
601.54291	28893
601.6665	28823
601.79004	28680
601.91364	28685
602.03717	28511
602.16071	28482
602.2843	28403
602.40784	28821
602.53137	28587
602.65497	28211
602.7785	28508
602.90204	28250
603.02563	28428
603.14917	28164
603.27271	28751
603.39624	28333
603.51984	28115
603.64337	28158
603.76691	28423
603.89044	28042
604.01398	28246
604.13751	28690
604.26111	28387
604.38464	28475
604.50818	28431
604.63171	28443
604.75525	28559
604.87878	28600
605.00232	28414
605.12585	28325
605.24939	28150
605.37292	28299
605.49646	28644
605.62	28254
605.74353	28754
605.867	28499
605.99054	28516
606.11407	28700
606.23761	28456
606.36115	28888
606.48468	28857
606.60815	28763
606.73169	28899
606.85522	28924
606.97876	28698
607.10223	28830
607.22577	28864
607.3493	29011
607.47278	28969
607.59631	29428
607.71985	29899
607.84332	29458
607.96686	29453
608.09033	29264
608.21387	29738
608.3374	29670
608.46088	29767
608.58441	29982
608.70789	29880
608.83142	30149
608.9549	29696
609.07837	30056
609.2019	30358
609.32538	30333
609.44891	29971
609.57239	30345
609.69586	30264
609.8194	30084
609.94287	30585
610.06635	30595
610.18982	30723
610.31335	30583
610.43683	30884
610.5603	30971
610.68378	30615
610.80725	31145
610.93079	30693
611.05426	30359
611.17773	30164
611.30121	30534
611.42468	30441
611.54816	30360
611.67163	30265
611.7951	30125
611.91858	29945
612.04205	29838
612.16553	30058
612.289	30245
612.41248	30545
612.53595	29923
612.65942	29982
612.7829	29966
612.90631	29384
613.02979	29404
613.15326	29356
613.27673	28876
613.40021	28839
613.52362	29392
613.64709	29404
613.77057	29170
613.89398	29290
614.01746	29216
614.14093	29805
614.26434	29442
614.38782	28662
614.51123	28429
614.6347	29123
614.75818	29142
614.88159	28874
615.00507	28810
615.12848	29042
615.25189	28759
615.37537	28712
615.49878	29297
615.62225	29239
615.74567	29207
615.86908	28932
615.99255	29022
616.11597	28624
616.23938	28825
616.36285	28707
616.48627	29347
616.60968	29173
616.73309	29052
616.85657	29355
616.97998	29266
617.10339	28394
617.22681	28672
617.35022	29139
617.47363	29046
617.59705	29342
617.72046	29202
617.84387	29150
617.96729	29660
618.0907	29249
618.21411	28979
618.33752	29588
618.46094	29637
618.58435	29398
618.70776	29926
618.83118	29718
618.95453	29918
619.07794	29410
619.20135	30288
619.32477	30068
619.44812	29930
619.57153	30292
619.69495	30228
619.8183	29724
619.94171	29921
620.06512	30166
620.18848	30484
620.31189	30509
620.43524	30016
620.55865	29676
620.68207	30003
620.80542	29646
620.92877	29583
621.05219	29435
621.17554	29118
621.29895	29444
621.4223	29222
621.54565	28866
621.66907	28667
621.79242	29332
621.91577	29299
622.03918	29183
622.16254	29192
622.28589	29402
622.40924	29143
622.53259	28802
622.65601	29473
622.77936	28891
622.90271	28479
623.02606	28901
623.14941	28754
623.27277	28677
623.39612	28278
623.51947	28838
623.64282	28475
623.76617	28149
623.88953	28143
624.01288	27598
624.13617	27803
624.25952	27575
624.38287	27980
624.50623	27944
624.62958	27758
624.75287	27543
624.87622	27333
624.99957	27003
625.12286	27218
625.24622	27837
625.36957	27786
625.49286	27773
625.61621	27324
625.7395	27160
625.86285	26951
625.98615	27094
626.1095	27540
626.23279	27071
626.35614	27119
626.47943	26955
626.60278	26776
626.72607	26585
626.84937	26783
626.97272	27106
627.09601	26809
627.2193	26621
627.34259	26457
627.46594	26220
627.58923	26409
627.71252	26333
627.83582	26570
627.95911	26143
628.0824	26423
628.20569	26284
628.32898	26494
628.45227	26638
628.57556	26348
628.69885	26245
628.82214	26591
628.94543	26065
629.06873	26429
629.19202	26196
629.31531	26384
629.43854	26318
629.56183	26605
629.68512	26296
629.80841	26125
629.93164	26084
630.05493	26329
630.17822	25968
630.30145	26068
630.42474	25859
630.54797	25919
630.67126	26227
630.79449	25898
630.91779	26181
631.04102	25839
631.16431	26021
631.28754	25902
631.41083	26189
631.53406	26053
631.65729	25899
631.78058	26398
631.90381	26323
632.02704	26261
632.15027	25966
632.27356	25729
632.39679	25397
632.52002	25821
632.64325	26283
632.76648	25720
632.88971	26174
633.01294	25703
633.13617	25534
633.2594	25402
633.38263	25402
633.50586	25241
633.62909	25589
633.75232	25601
633.87555	25698
633.99878	25890
634.12195	25973
634.24518	25825
634.36841	25346
634.49164	25586
634.61481	25686
634.73804	25855
634.86127	25775
634.98444	25272
635.10767	25653
635.23083	25356
635.35406	25888
635.47723	26107
635.60046	26312
635.72363	26352
635.84686	26105
635.97003	25931
636.0932	25556
636.21643	25863
636.3396	25224
636.46277	25681
636.58594	25556
636.70917	25917
636.83234	25697
636.95551	25892
637.07867	25872
637.20184	25977
637.32501	26016
637.44818	25601
637.57135	25737
637.69452	25764
637.81769	25763
637.94086	25925
638.06403	25802
638.18719	25729
638.31036	25811
638.43353	25618
638.55664	25735
638.67981	25942
638.80298	25607
638.92615	25538
639.04926	25944
639.17242	25811
639.29553	26034
639.4187	25591
639.54187	25595
639.66498	25605
639.78815	25608
639.91125	25951
640.03436	25888
640.15753	25851
640.28064	26393
640.40381	26334
640.52692	26066
640.65002	26142
640.77313	26217
640.8963	26491
641.01941	26689
641.14252	26826
641.26562	26869
641.38873	27073
641.51184	27299
641.63495	26906
641.75806	26964
641.88116	27103
642.00427	27256
642.12738	26982
642.25049	27378
642.3736	27468
642.4967	27549
642.61981	27870
642.74286	27185
642.86597	27338
642.98907	27429
643.11218	27567
643.23523	27347
643.35834	26920
643.48138	27614
643.60449	27716
643.7276	27793
643.85065	27942
643.97369	27987
644.0968	27465
644.21985	27339
644.34296	27994
644.466	28250
644.58905	28033
644.71216	28290
644.83521	28287
644.95825	28340
645.0813	28399
645.20435	28738
645.32745	28835
645.4505	28685
645.57355	28816
645.69659	28482
645.81964	28894
645.94269	28782
646.06573	28891
646.18878	29470
646.31177	29038
646.43481	28534
646.55786	29848
646.68091	29510
646.80396	29908
646.92694	29865
647.04999	30115
647.17303	30054
647.29602	29986
647.41907	30124
647.54205	30971
647.6651	31577
647.78809	32004
647.91113	31885
648.03412	32084
648.15717	32087
648.28015	31609
648.40314	32237
648.52618	32705
648.64917	33752
648.77216	33433
648.89514	32591
649.01819	32993
649.14117	32268
649.26416	33096
649.38715	33490
649.51013	33463
649.63312	33669
649.7561	33062
649.87909	32849
650.00208	32193
650.12506	31479
650.24799	31651
650.37097	31561
650.49396	31394
650.61694	31243
650.73987	31113
650.86285	30525
650.98584	30798
651.10876	30410
651.23175	30139
651.35474	30097
651.47766	30276
651.60059	30242
651.72357	30164
651.8465	29583
651.96948	28973
652.09241	29070
652.21533	29340
652.33832	29099
652.46124	28608
652.58417	28423
652.70709	28320
652.83002	28159
652.95294	28181
653.07593	28090
653.19885	28751
653.32178	28938
653.44464	28560
653.56757	28221
653.69049	28076
653.81342	28262
653.93634	27494
654.05927	27598
654.18219	27509
654.30505	27605
654.42798	27511
654.5509	27323
654.67377	27224
654.79669	27833
654.91956	27473
655.04248	27819
655.16534	27895
655.28827	27678
655.41113	27647
655.53406	27235
655.65692	27589
655.77979	27016
655.90271	27194
656.02557	27194
656.14844	27204
656.2713	27129
656.39417	27315
656.51703	27449
656.63989	27399
656.76276	26795
656.88562	26899
657.00848	27567
657.13135	27309
657.25421	27461
657.37708	27274
657.49994	27217
657.6228	27265
657.74561	26773
657.86847	26890
657.99133	27009
658.11414	26484
658.237	26263
658.3598	26416
658.48267	26525
658.60547	26451
658.72833	26044
658.85114	26386
658.974	26736
659.0968	26256
659.2196	26603
659.34247	26408
659.46527	26077
659.58807	26401
659.71088	26162
659.83368	26154
659.95648	25843
660.07928	26247
660.20209	25360
660.32489	25924
660.44769	26097
660.5705	26286
660.6933	26410
660.8161	25824
660.9389	25710
661.06171	25629
661.18445	26135
661.30725	26339
661.43005	25857
661.5528	26148
661.6756	26076
661.79834	25935
661.92114	25918
662.04388	26194
662.16669	26127
662.28943	26145
662.41217	26024
662.53497	25968
662.65771	26314
662.78046	26337
662.9032	26190
663.026	26329
663.14874	26937
663.27148	26407
663.39423	26408
663.51697	25876
663.63971	26145
663.76245	26610
663.88519	26385
664.00793	26355
664.13062	26171
664.25336	26331
664.3761	27048
664.49884	26641
664.62152	26795
664.74426	27123
664.86694	26766
664.98969	26564
665.11243	26521
665.23511	26685
665.35779	26376
665.48053	26487
665.60321	26613
665.72589	26942
665.84863	26889
665.97131	27200
666.09399	27471
666.21667	27775
666.33942	27864
666.4621	27241
666.58478	27638
666.70746	27484
666.83014	27095
666.95282	27509
667.07544	28184
667.19812	27963
667.3208	28118
667.44348	28125
667.56616	27951
667.68878	28519
667.81146	28591
667.93414	28661
668.05676	28393
668.17944	28842
668.30206	28777
668.42474	29164
668.54736	29144
668.66998	29192
668.79266	29327
668.91528	28533
669.0379	27979
669.16058	28061
669.2832	28036
669.40582	27942
669.52844	27574
669.65106	27427
669.77368	27447
669.8963	27436
670.01892	26820
670.14154	27209
670.26416	27039
670.38678	26842
670.50934	26016
670.63196	25949
670.75458	26443
670.87714	26737
670.99976	26939
671.12238	26284
671.24493	26008
671.36755	26147
671.49011	26029
671.61273	26385
671.73529	26519
671.85785	26491
671.98047	26200
672.10303	26606
672.22559	26035
672.34814	26028
672.4707	26270
672.59326	25740
672.71582	26090
672.83838	26139
672.96094	25783
673.0835	25634
673.20605	25613
673.32861	25590
673.45117	25484
673.57373	25309
673.69623	25173
673.81879	25189
673.94135	24948
674.06384	25231
674.1864	24879
674.3089	24805
674.43146	24358
674.55396	24484
674.67651	24690
674.79901	24561
674.92151	24538
675.04401	24129
675.16656	24036
675.28906	23466
675.41156	24099
675.53406	23944
675.65656	24117
675.77905	24191
675.90155	24401
676.02405	24120
676.14655	23956
676.26904	23382
676.39154	23742
676.51398	24014
676.63647	23773
676.75897	23711
676.88141	23755
677.00391	23849
677.12634	23903
677.24884	24134
677.37128	24098
677.49377	23753
677.61621	23963
677.73865	23660
677.86115	23715
677.98358	23942
678.10602	23812
678.22845	23711
678.35089	23826
678.47333	23786
678.59576	23809
678.7182	23540
678.84064	23490
678.96307	23118
679.08551	22915
679.20795	22419
679.33038	22787
679.45276	23047
679.5752	22787
679.69763	23323
679.82001	23312
679.94244	23004
680.06482	23131
680.18726	23227
680.30963	23032
680.43207	22840
680.55444	22865
680.67682	22514
680.79919	22237
680.92163	22261
681.04401	22163
681.16638	21764
681.28876	21884
681.41113	21713
681.53351	21649
681.65588	21345
681.77826	20598
681.90057	19948
682.02295	19303
682.14532	18269
682.2677	17519
682.39001	16745
682.51239	16033
682.63477	15685
682.75708	15465
682.87946	15134
683.00177	15073
683.12408	15053
683.24646	15038
683.36877	15022
683.49109	15002
683.61346	14954
683.73578	14921
683.85809	15070
683.98041	14994
684.10272	15015
684.22504	14913
684.34735	14929
684.46967	14932
684.59198	14874
684.71423	14985
684.83655	15018
684.95886	14951
685.08112	15041
685.20343	14961
685.32574	14947
685.448	14969
685.57031	14973
685.69257	14945
685.81488	15002
685.93713	14919
686.05939	14876
686.18164	15028
686.30396	15069
686.42621	15004
686.54846	14940
686.67072	14952
686.79297	14990
686.91522	14974
687.03748	14952
687.15973	14859
687.28198	15020
687.40417	14947
687.52643	14966
687.64868	14951
687.77094	14982
687.89313	14919
688.01538	15079
688.13757	14969
688.25983	14945
688.38202	15018
688.50421	14967
688.62646	14881
688.74866	14901
688.87085	14958
688.99304	14929
689.1153	15050
689.23749	14935
689.35968	15011
689.48187	14861
689.60406	14924
689.72626	14900
689.84839	14941
689.97058	15043
690.09277	14968
690.21497	15003
690.3371	14995
690.45929	14945
690.58148	14901
690.70361	14912
690.82581	14934
690.94794	14904
691.07007	14886
691.19226	15015
691.31439	14944
691.43652	14951
691.55865	14898
691.68085	14972
691.80298	14971
691.92511	15038
692.04724	14925
692.16937	14982
692.29144	14927
692.41357	14863
692.53571	14920
692.65784	14947
692.77997	14963
692.90204	14850
693.02417	14974
693.14624	14971
693.26837	14963
693.39044	14926
693.51257	14844
693.63464	14933
693.75677	14874
693.87885	14755
694.00092	14972
694.12299	14950
694.24506	14968
694.36713	14936
694.4892	14946
694.61127	15044
694.73334	15059
694.85541	14922
694.97748	15029
695.09955	14938
695.22156	14937
