Date and Time:                Tue Apr 30 09:52:57.947 2024
Software Version:             4.30.30034.0
Unstabilized Temperature (C): -74.055
Model:                        DU970P_BVF
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.51067
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     1
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                21547
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                KY-3410
Wavelength (nm):              668.287
Grating Groove Density (l/mm):599.775
Grating Blaze:                650nm
Output Direct Slit Width (um): 260



552.68842	489
552.81213	462
552.93585	473
553.05963	459
553.18335	500
553.30707	491
553.43079	450
553.55457	484
553.67828	442
553.802	472
553.92572	486
554.04944	481
554.17322	465
554.29694	492
554.42065	494
554.54437	523
554.66815	480
554.79187	533
554.91559	524
555.03931	491
555.16309	506
555.2868	515
555.41052	521
555.53424	517
555.65802	528
555.78174	543
555.90546	524
556.02917	529
556.15295	520
556.27667	573
556.40039	494
556.52411	543
556.64789	615
556.77161	591
556.89532	589
557.01904	557
557.14282	555
557.26654	571
557.39026	563
557.51398	523
557.63776	536
557.76147	559
557.88519	523
558.00891	547
558.13269	522
558.25641	571
558.38013	543
558.50385	537
558.62762	517
558.75134	540
558.87506	563
558.99878	555
559.12256	525
559.24628	536
559.37	524
559.49371	543
559.61749	526
559.74121	532
559.86493	551
559.98865	568
560.11243	512
560.23615	524
560.35986	535
560.48358	574
560.6073	519
560.73108	534
560.8548	530
560.97852	565
561.10223	534
561.22601	560
561.34973	560
561.47345	581
561.59717	550
561.72095	601
561.84467	569
561.96838	563
562.0921	559
562.21582	596
562.3396	609
562.46332	624
562.58704	562
562.71075	614
562.83453	567
562.95825	577
563.08197	581
563.20569	584
563.32941	580
563.45319	574
563.5769	602
563.70062	634
563.82434	587
563.94806	597
564.07184	628
564.19556	652
564.31927	663
564.44299	630
564.56671	632
564.69043	623
564.81421	651
564.93793	659
565.06165	679
565.18536	715
565.30908	686
565.4328	726
565.55658	762
565.6803	743
565.80402	760
565.92773	810
566.05145	855
566.17517	873
566.29895	1012
566.42267	1148
566.54639	1304
566.6701	1488
566.79382	1667
566.91754	1913
567.04126	2338
567.16498	2673
567.28876	3160
567.41248	3553
567.53619	3703
567.65991	3375
567.78363	3099
567.90735	2634
568.03107	2372
568.15479	2035
568.2785	1660
568.40222	1475
568.52594	1219
568.64972	1126
568.77344	1099
568.89716	1060
569.02087	927
569.14459	902
569.26831	900
569.39203	851
569.51575	837
569.63947	810
569.76318	794
569.8869	805
570.01062	763
570.13434	801
570.25806	758
570.38177	752
570.50549	763
570.62921	720
570.75293	707
570.87665	743
571.00037	754
571.12408	712
571.2478	741
571.37152	703
571.49524	680
571.61896	746
571.74268	744
571.86639	709
571.99011	668
572.11383	684
572.23755	688
572.36127	704
572.48499	697
572.6087	716
572.73242	741
572.85608	672
572.9798	778
573.10352	726
573.22723	735
573.35095	739
573.47467	780
573.59839	725
573.72211	720
573.84583	785
573.96948	759
574.0932	716
574.21692	663
574.34064	788
574.46436	756
574.58807	742
574.71179	723
574.83545	735
574.95917	727
575.08289	744
575.2066	680
575.33032	745
575.45398	762
575.5777	753
575.70142	716
575.82513	697
575.94879	736
576.07251	706
576.19623	728
576.31995	747
576.4436	674
576.56732	685
576.69104	701
576.81476	695
576.93842	692
577.06213	672
577.18585	707
577.30951	703
577.43323	685
577.55695	684
577.6806	745
577.80432	697
577.92804	695
578.0517	686
578.17542	667
578.29913	665
578.42279	643
578.54651	666
578.67023	667
578.79388	703
578.9176	697
579.04126	665
579.16498	705
579.28864	651
579.41235	655
579.53607	659
579.65973	694
579.78345	691
579.9071	679
580.03082	655
580.15448	690
580.2782	703
580.40186	698
580.52557	718
580.64923	703
580.77295	702
580.89661	698
581.02032	724
581.14398	711
581.2677	749
581.39136	738
581.51501	764
581.63873	748
581.76239	729
581.88611	740
582.00977	758
582.13342	783
582.25714	714
582.3808	732
582.50452	788
582.62817	702
582.75183	748
582.87555	731
582.99921	700
583.12286	738
583.24652	744
583.37024	717
583.4939	727
583.61755	743
583.74127	711
583.86493	721
583.98859	728
584.11224	779
584.23596	756
584.35962	773
584.48328	777
584.60693	773
584.73059	799
584.85431	772
584.97797	759
585.10162	745
585.22528	801
585.34894	809
585.4726	827
585.59625	827
585.71997	822
585.84363	796
585.96729	834
586.09094	798
586.2146	796
586.33826	881
586.46191	886
586.58557	899
586.70923	863
586.83289	904
586.95654	850
587.0802	915
587.20386	858
587.32751	865
587.45117	872
587.57483	782
587.69849	794
587.82214	795
587.9458	732
588.06946	734
588.19312	780
588.31671	757
588.44037	682
588.56403	791
588.68768	705
588.81134	752
588.935	767
589.05865	733
589.18225	781
589.30591	729
589.42957	750
589.55322	779
589.67688	757
589.80048	717
589.92413	764
590.04779	770
590.17139	769
590.29504	797
590.4187	780
590.54236	780
590.66595	765
590.78961	779
590.91327	749
591.03687	774
591.16052	753
591.28412	799
591.40778	795
591.53143	816
591.65503	747
591.77869	809
591.90228	754
592.02594	801
592.14954	790
592.27319	788
592.39679	801
592.52045	788
592.64404	766
592.7677	741
592.8913	817
593.01495	778
593.13855	722
593.26221	771
593.3858	775
593.5094	739
593.63306	749
593.75665	775
593.88031	782
594.00391	791
594.1275	732
594.2511	752
594.37476	747
594.49835	749
594.62195	768
594.74561	733
594.8692	793
594.9928	739
595.11639	784
595.24005	733
595.36365	742
595.48724	705
595.61084	759
595.73444	745
595.85803	760
595.98163	808
596.10529	749
596.22888	784
596.35248	754
596.47607	796
596.59967	764
596.72327	716
596.84686	806
596.97046	761
597.09406	848
597.21765	783
597.34125	821
597.46484	819
597.58844	838
597.71204	812
597.83563	816
597.95923	886
598.08282	837
598.20636	847
598.32996	784
598.45355	811
598.57715	740
598.70074	784
598.82434	807
598.94788	811
599.07147	734
599.19507	772
599.31866	728
599.4422	845
599.5658	764
599.68939	801
599.81293	773
599.93652	824
600.06012	841
600.18365	763
600.30725	769
600.43085	811
600.55438	797
600.67798	767
600.80151	774
600.92511	830
601.04865	832
601.17224	805
601.29578	766
601.41937	803
601.54291	784
601.6665	797
601.79004	789
601.91364	808
602.03717	813
602.16071	736
602.2843	769
602.40784	795
