Date and Time:                Tue Apr 30 10:22:22.897 2024
Software Version:             4.30.30034.0
Unstabilized Temperature (C): -74.055
Model:                        DU970P_BVF
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.51067
Accumulate Cycle Time (secs): 0.51067
Frequency (Hz):               1.9582
Number of Accumulations:      50
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     1
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                21547
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                KY-3410
Wavelength (nm):              668.287
Grating Groove Density (l/mm):599.775
Grating Blaze:                650nm
Output Direct Slit Width (um): 260



552.68842	25604
552.81213	25392
552.93585	25528
553.05963	25632
553.18335	25457
553.30707	25182
553.43079	25223
553.55457	24810
553.67828	24815
553.802	24537
553.92572	24949
554.04944	24620
554.17322	24271
554.29694	24912
554.42065	24666
554.54437	24476
554.66815	24631
554.79187	24659
554.91559	24599
555.03931	24884
555.16309	24856
555.2868	24607
555.41052	24737
555.53424	24455
555.65802	24955
555.78174	24913
555.90546	25102
556.02917	25171
556.15295	25288
556.27667	25951
556.40039	25572
556.52411	26024
556.64789	26663
556.77161	26823
556.89532	26991
557.01904	26685
557.14282	26939
557.26654	26114
557.39026	26250
557.51398	26098
557.63776	26250
557.76147	26419
557.88519	26399
558.00891	26254
558.13269	26475
558.25641	26473
558.38013	26068
558.50385	25780
558.62762	25979
558.75134	25365
558.87506	25809
558.99878	25430
559.12256	25471
559.24628	25521
559.37	25578
559.49371	25241
559.61749	25003
559.74121	25269
559.86493	25441
559.98865	25807
560.11243	26051
560.23615	25835
560.35986	25617
560.48358	25651
560.6073	25864
560.73108	25854
560.8548	25902
560.97852	26126
561.10223	26629
561.22601	26350
561.34973	27033
561.47345	27084
561.59717	27095
561.72095	26812
561.84467	27140
561.96838	26617
562.0921	26616
562.21582	26540
562.3396	26200
562.46332	26846
562.58704	26376
562.71075	26407
562.83453	26308
562.95825	26421
563.08197	26291
563.20569	26377
563.32941	26867
563.45319	26972
563.5769	26790
563.70062	26845
563.82434	26591
563.94806	26748
564.07184	26669
564.19556	26943
564.31927	26999
564.44299	26904
564.56671	27450
564.69043	26957
564.81421	27489
564.93793	27699
565.06165	27892
565.18536	27879
565.30908	27597
565.4328	27396
565.55658	27143
565.6803	27325
565.80402	27084
565.92773	26743
566.05145	26956
566.17517	26651
566.29895	26640
566.42267	26399
566.54639	26751
566.6701	26682
566.79382	26647
566.91754	26025
567.04126	26409
567.16498	26296
567.28876	26364
567.41248	26230
567.53619	26098
567.65991	26163
567.78363	25886
567.90735	25916
568.03107	26050
568.15479	26137
568.2785	25938
568.40222	26233
568.52594	26185
568.64972	26179
568.77344	26024
568.89716	26382
569.02087	26358
569.14459	26546
569.26831	26397
569.39203	26511
569.51575	26572
569.63947	26579
569.76318	26269
569.8869	26797
570.01062	26865
570.13434	26824
570.25806	27124
570.38177	27159
570.50549	26877
570.62921	27043
570.75293	27055
570.87665	27036
571.00037	27232
571.12408	27107
571.2478	27539
571.37152	27534
571.49524	27248
571.61896	27396
571.74268	28001
571.86639	27638
571.99011	27689
572.11383	27848
572.23755	27957
572.36127	27934
572.48499	27967
572.6087	28071
572.73242	28098
572.85608	28553
572.9798	28711
573.10352	28736
573.22723	28498
573.35095	28804
573.47467	28372
573.59839	28913
573.72211	29028
573.84583	29372
573.96948	29550
574.0932	30054
574.21692	30450
574.34064	30560
574.46436	30541
574.58807	30953
574.71179	31276
574.83545	31102
574.95917	30732
575.08289	31266
575.2066	31323
575.33032	31355
575.45398	30942
575.5777	31270
575.70142	31018
575.82513	30716
575.94879	30772
576.07251	30879
576.19623	31091
576.31995	30645
576.4436	30264
576.56732	30093
576.69104	30614
576.81476	30852
576.93842	30538
577.06213	29697
577.18585	30383
577.30951	31048
577.43323	31064
577.55695	30720
577.6806	30519
577.80432	30157
577.92804	30498
578.0517	30662
578.17542	29979
578.29913	30023
578.42279	30204
578.54651	30371
578.67023	29904
578.79388	30076
578.9176	30125
579.04126	30159
579.16498	29993
579.28864	30184
579.41235	30203
579.53607	30141
579.65973	30348
579.78345	30124
579.9071	30046
580.03082	30295
580.15448	29577
580.2782	29983
580.40186	30186
580.52557	30212
580.64923	30920
580.77295	31029
580.89661	31400
581.02032	31421
581.14398	32154
581.2677	32214
581.39136	32200
581.51501	32513
581.63873	32150
581.76239	31684
581.88611	31791
582.00977	31432
582.13342	31340
582.25714	31196
582.3808	31016
582.50452	30501
582.62817	30719
582.75183	30080
582.87555	30147
582.99921	30084
583.12286	30534
583.24652	30544
583.37024	30231
583.4939	30654
583.61755	30307
583.74127	30703
583.86493	31552
583.98859	30917
584.11224	31217
584.23596	31480
584.35962	31869
584.48328	31832
584.60693	31587
584.73059	31926
584.85431	31343
584.97797	31443
585.10162	31400
585.22528	31392
585.34894	30925
585.4726	30696
585.59625	30428
585.71997	29892
585.84363	30238
585.96729	30593
586.09094	30733
586.2146	30517
586.33826	30423
586.46191	30778
586.58557	30035
586.70923	30717
586.83289	30810
586.95654	30855
587.0802	30940
587.20386	30873
587.32751	30725
587.45117	30914
587.57483	30476
587.69849	30419
587.82214	30391
587.9458	29481
588.06946	29790
588.19312	29669
588.31671	29771
588.44037	30167
588.56403	30112
588.68768	29852
588.81134	29718
588.935	29278
589.05865	29691
589.18225	29765
589.30591	30097
589.42957	29661
589.55322	30383
589.67688	29877
589.80048	29756
589.92413	30409
590.04779	30803
590.17139	30909
590.29504	30590
590.4187	30726
590.54236	31305
590.66595	31310
590.78961	31194
590.91327	31502
591.03687	31655
591.16052	31857
591.28412	31756
591.40778	31014
591.53143	31454
591.65503	31182
591.77869	31377
591.90228	31398
592.02594	31040
592.14954	30857
592.27319	31112
592.39679	30915
592.52045	31006
592.64404	31271
592.7677	31203
592.8913	31181
593.01495	31441
593.13855	30795
593.26221	30599
593.3858	30516
593.5094	30485
593.63306	30590
593.75665	30030
593.88031	30184
594.00391	30000
594.1275	30064
594.2511	30129
594.37476	29672
594.49835	30376
594.62195	30038
594.74561	30426
594.8692	30278
594.9928	30397
595.11639	30426
595.24005	30418
595.36365	30734
595.48724	30730
595.61084	30397
595.73444	30441
