Date and Time:                Tue Apr 30 10:25:28.955 2024
Software Version:             4.30.30034.0
Unstabilized Temperature (C): -74.055
Model:                        DU970P_BVF
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.51067
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     1
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                21547
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                KY-3410
Wavelength (nm):              668.287
Grating Groove Density (l/mm):599.775
Grating Blaze:                650nm
Output Direct Slit Width (um): 260



552.68842	472
552.81213	511
552.93585	515
553.05963	493
553.18335	492
553.30707	476
553.43079	502
553.55457	526
553.67828	510
553.802	476
553.92572	522
554.04944	520
554.17322	527
554.29694	492
554.42065	511
554.54437	508
554.66815	467
554.79187	511
554.91559	490
555.03931	509
555.16309	492
555.2868	505
555.41052	484
555.53424	490
555.65802	514
555.78174	523
555.90546	497
556.02917	499
556.15295	521
556.27667	527
556.40039	562
556.52411	554
556.64789	561
556.77161	517
556.89532	571
557.01904	551
557.14282	567
557.26654	504
557.39026	525
557.51398	486
557.63776	506
557.76147	524
557.88519	524
558.00891	518
558.13269	503
558.25641	525
558.38013	532
558.50385	511
558.62762	529
558.75134	515
558.87506	557
558.99878	490
559.12256	515
559.24628	535
559.37	531
559.49371	509
559.61749	502
559.74121	518
559.86493	523
559.98865	540
560.11243	523
560.23615	543
560.35986	554
560.48358	520
560.6073	521
560.73108	539
560.8548	529
560.97852	530
561.10223	538
561.22601	525
561.34973	552
561.47345	561
561.59717	553
561.72095	534
561.84467	563
561.96838	544
562.0921	540
562.21582	538
562.3396	556
562.46332	570
562.58704	538
562.71075	534
562.83453	532
562.95825	503
563.08197	564
563.20569	515
563.32941	516
563.45319	511
563.5769	558
563.70062	574
563.82434	532
563.94806	565
564.07184	563
564.19556	543
564.31927	572
564.44299	557
564.56671	532
564.69043	555
564.81421	569
564.93793	557
565.06165	572
565.18536	544
565.30908	561
565.4328	561
565.55658	560
565.6803	585
565.80402	547
565.92773	558
566.05145	551
566.17517	546
566.29895	543
566.42267	549
566.54639	568
566.6701	546
566.79382	564
566.91754	556
567.04126	578
567.16498	508
567.28876	532
567.41248	545
567.53619	528
567.65991	519
567.78363	527
567.90735	504
568.03107	522
568.15479	492
568.2785	524
568.40222	524
568.52594	507
568.64972	533
568.77344	521
568.89716	520
569.02087	531
569.14459	547
569.26831	533
569.39203	540
569.51575	578
569.63947	546
569.76318	531
569.8869	537
570.01062	595
570.13434	550
570.25806	571
570.38177	585
570.50549	558
570.62921	520
570.75293	550
570.87665	586
571.00037	551
571.12408	549
571.2478	567
571.37152	544
571.49524	554
571.61896	573
571.74268	562
571.86639	532
571.99011	566
572.11383	560
572.23755	563
572.36127	582
572.48499	578
572.6087	585
572.73242	585
572.85608	580
572.9798	560
573.10352	628
573.22723	610
573.35095	608
573.47467	606
573.59839	573
573.72211	526
573.84583	651
573.96948	619
574.0932	641
574.21692	618
574.34064	572
574.46436	632
574.58807	626
574.71179	626
574.83545	661
574.95917	668
575.08289	639
575.2066	654
575.33032	643
575.45398	608
575.5777	625
575.70142	627
575.82513	669
575.94879	634
576.07251	609
576.19623	663
576.31995	637
576.4436	613
576.56732	577
576.69104	589
576.81476	596
576.93842	622
577.06213	600
577.18585	600
577.30951	608
577.43323	674
577.55695	686
577.6806	672
577.80432	599
577.92804	646
578.0517	626
578.17542	599
578.29913	596
578.42279	613
578.54651	616
578.67023	597
578.79388	608
578.9176	639
579.04126	618
579.16498	617
579.28864	613
579.41235	624
579.53607	626
579.65973	627
579.78345	637
579.9071	613
580.03082	629
580.15448	627
580.2782	628
580.40186	593
580.52557	680
580.64923	663
580.77295	626
580.89661	644
581.02032	649
581.14398	636
581.2677	687
581.39136	615
581.51501	658
581.63873	669
581.76239	626
581.88611	636
582.00977	603
582.13342	617
582.25714	627
582.3808	645
582.50452	695
582.62817	664
582.75183	659
582.87555	639
582.99921	629
583.12286	620
583.24652	632
583.37024	623
583.4939	632
583.61755	651
583.74127	650
583.86493	633
583.98859	619
584.11224	627
584.23596	644
584.35962	667
584.48328	650
584.60693	667
584.73059	681
584.85431	690
584.97797	661
585.10162	634
585.22528	645
585.34894	661
585.4726	646
585.59625	600
585.71997	648
585.84363	687
585.96729	620
586.09094	644
586.2146	666
586.33826	680
586.46191	656
586.58557	646
586.70923	632
586.83289	681
586.95654	673
587.0802	664
587.20386	661
587.32751	659
587.45117	663
587.57483	658
587.69849	635
587.82214	649
587.9458	642
588.06946	637
588.19312	648
588.31671	675
588.44037	601
588.56403	612
588.68768	623
588.81134	623
588.935	602
589.05865	614
589.18225	654
589.30591	661
589.42957	611
589.55322	646
589.67688	658
589.80048	676
589.92413	669
590.04779	653
590.17139	690
590.29504	697
590.4187	652
590.54236	679
590.66595	665
590.78961	697
590.91327	693
591.03687	679
591.16052	667
591.28412	678
591.40778	731
591.53143	661
591.65503	664
591.77869	689
591.90228	658
592.02594	712
592.14954	649
592.27319	697
592.39679	663
592.52045	665
592.64404	617
592.7677	707
592.8913	686
593.01495	700
593.13855	652
593.26221	708
593.3858	688
593.5094	632
593.63306	674
593.75665	679
593.88031	617
594.00391	644
594.1275	643
594.2511	635
594.37476	621
594.49835	631
594.62195	622
594.74561	689
594.8692	649
594.9928	660
595.11639	672
595.24005	633
595.36365	647
595.48724	655
595.61084	694
595.73444	661
595.85803	674
595.98163	713
596.10529	734
596.22888	734
596.35248	705
596.47607	749
596.59967	757
596.72327	779
596.84686	807
596.97046	846
597.09406	847
597.21765	935
597.34125	945
597.46484	916
597.58844	912
597.71204	982
597.83563	940
597.95923	900
598.08282	845
598.20636	885
598.32996	887
598.45355	901
598.57715	844
598.70074	783
598.82434	793
598.94788	772
599.07147	805
599.19507	795
599.31866	744
599.4422	742
599.5658	703
599.68939	757
599.81293	766
599.93652	703
600.06012	749
600.18365	708
600.30725	735
600.43085	758
600.55438	726
600.67798	742
600.80151	720
600.92511	729
601.04865	701
601.17224	754
601.29578	656
601.41937	737
601.54291	730
601.6665	722
601.79004	724
601.91364	730
602.03717	711
602.16071	700
602.2843	721
602.40784	688
602.53137	681
602.65497	688
602.7785	716
